gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Gdpd1,8.49621,7.683036666666666,0.8131733333333333,0.000562870986458208,0.6031284983157625
Dst,7.987220000000001,6.858280000000001,1.12894,0.0006386658034335704,0.6240117225523966
Ralgapb,7.9073,7.228459999999999,0.678840000000001,0.0006467458007660956,0.6240117225523966
Plekhg5,3.308196666666667,4.0109,-0.7027033333333335,0.0006583203402865616,0.6240117225523966
Cxcl16,3.9475833333333337,3.25999,0.6875933333333335,0.0006839590990706524,0.6243026665406012
Gsr,8.355626666666666,6.964566666666666,1.3910599999999995,0.0007546148781997669,0.655869776683258
Bcl3,6.091783333333333,3.9127433333333332,2.1790399999999996,0.0007721694320439751,0.655869776683258
Slc7a11,6.381386666666667,3.621928333333333,2.759458333333334,0.0008078844229609451,0.655869776683258
Aim1,4.6052566666666666,3.46975,1.1355066666666667,0.0008296131355902096,0.655869776683258
Marco,7.459203333333334,3.2532833333333335,4.205920000000001,0.0008639575784990911,0.655869776683258
Osbpl3,6.96897,5.393496666666667,1.575473333333333,0.0009049369327522832,0.655869776683258
Rsad2,9.835746666666667,4.4721433333333325,5.363603333333335,0.0009115811194005134,0.655869776683258
Gfod1,2.6729800000000004,2.41673,0.25625000000000053,0.000931444194924489,0.655869776683258
Il1a,9.37691,3.2304333333333335,6.146476666666667,0.001012466563618678,0.6883193940720068
Tsku,4.056360000000001,3.1696866666666668,0.8866733333333339,0.0010933068913552692,0.6883193940720068
Tbx5,2.1973733333333336,2.041113333333333,0.1562600000000005,0.0011009726213093462,0.6883193940720068
4933426M11Rik,7.398306666666667,5.834410000000001,1.5638966666666656,0.001101270974901349,0.6883193940720068
Cxcl2,7.709406666666666,2.7471133333333335,4.962293333333333,0.0011610155750359466,0.6883193940720068
Rslcan18,3.8390166666666663,3.2888733333333335,0.5501433333333328,0.001167558878360757,0.6883193940720068
Creb5,7.39162,5.627136666666666,1.7644833333333336,0.0012131818142622412,0.6883193940720068
Usp53,6.2064433333333335,5.0326933333333335,1.17375,0.0012238090489026879,0.6883193940720068
Klhl2,6.387126666666667,5.728593333333333,0.6585333333333336,0.001282367393754109,0.6883193940720068
Tnr,1.7244233333333334,2.0799966666666667,-0.3555733333333333,0.0012929500563470565,0.6883193940720068
Ikbke,7.72375,5.553333333333334,2.170416666666666,0.001294486579253954,0.6883193940720068
Ccrl2,7.8529333333333335,3.2608866666666665,4.592046666666667,0.001312680524300439,0.6883193940720068
Oasl1,9.030023333333334,5.669223333333334,3.3608000000000002,0.0013490549352006078,0.6926553932920622
Cox18,5.961516666666667,5.315203333333333,0.6463133333333344,0.0014345844335435802,0.7146304982041207
Fam177a,8.909203333333332,7.75331,1.1558933333333323,0.0014560658256217798,0.7146304982041207
Cd69,3.7896866666666664,2.317126666666667,1.4725599999999996,0.0014878993202375307,0.7146304982041207
Adra1a,3.93362,2.8825466666666664,1.0510733333333335,0.0015078428040825433,0.7146304982041207
Tbcd,5.85041,5.194306666666666,0.6561033333333341,0.0015621397777108778,0.7249719535441768
Slamf7,7.745966666666668,3.3351100000000002,4.4108566666666675,0.0015884960637608254,0.7249719535441768
Zufsp,6.515196666666667,5.34055,1.1746466666666668,0.001625879863558327,0.728541986134454
Eif2ak2,7.98674,7.1047666666666665,0.8819733333333337,0.0017415689737839105,0.7358846050895791
Agrn,5.811506666666666,3.8102899999999997,2.0012166666666666,0.0017429510810972762,0.7358846050895791
Slc43a3,9.509933333333334,8.530949999999999,0.9789833333333355,0.0017697646740074554,0.7358846050895791
Pno1,7.83358,7.44067,0.39291000000000054,0.0018266749730096162,0.7358846050895791
Lrrc25,6.687363333333334,4.4676,2.2197633333333338,0.0018372175900608257,0.7358846050895791
Diap2,7.00075,6.303416666666666,0.6973333333333338,0.0018474472004878192,0.7358846050895791
Tas2r116,1.7180666666666669,1.5294233333333331,0.18864333333333372,0.001851282025382589,0.7358846050895791
Eid3,6.659396666666667,5.020926666666667,1.6384699999999999,0.001898912600758971,0.7428365245349975
Zim3,1.6604966666666667,1.93632,-0.2758233333333333,0.0019978220675919848,0.7582748901619834
2010109I03Rik,3.0650333333333335,2.667526666666667,0.3975066666666667,0.0019999134859212384,0.7582748901619834
Cpd,9.822046666666667,8.247926666666666,1.5741200000000006,0.0020554244713339533,0.7599317696977427
Usp31,6.551256666666667,6.0802499999999995,0.4710066666666677,0.002105895112825494,0.7599317696977427
Gbp3,6.2672300000000005,3.2005966666666663,3.066633333333334,0.0021646756551831135,0.7599317696977427
C3,8.956963333333334,5.758536666666667,3.198426666666667,0.0022318082448192322,0.7599317696977427
Tcerg1l,1.7608066666666666,2.1541433333333333,-0.39333666666666667,0.002235517413607163,0.7599317696977427
Osgin2,7.32614,5.839833333333334,1.4863066666666658,0.0022608617616876616,0.7599317696977427
Ms4a14,7.0146033333333335,3.651666666666667,3.3629366666666667,0.0022765543971951315,0.7599317696977427
Casp4,7.881946666666667,5.78109,2.100856666666667,0.0023087200671922125,0.7599317696977427
Fas,5.31343,2.9138066666666664,2.399623333333334,0.002323350254645921,0.7599317696977427
Irak3,7.11124,4.5876166666666665,2.523623333333333,0.002351856277202544,0.7599317696977427
Irg1,10.724666666666666,4.122553333333333,6.602113333333333,0.002363353878534514,0.7599317696977427
4933421E11Rik,6.334599999999999,5.922963333333333,0.41163666666666643,0.0023743049814049983,0.7599317696977427
Il1b,9.057429999999998,3.63134,5.4260899999999985,0.0025245210678704467,0.7887393803547804
Serinc2,3.5927633333333335,3.2801266666666664,0.3126366666666671,0.0025283185655519437,0.7887393803547804
Rnf182,1.902893333333333,2.33691,-0.43401666666666694,0.002579710793813094,0.7908908344199385
Ccl28,2.5847233333333333,2.827503333333333,-0.24277999999999977,0.0026755647391065824,0.7908908344199385
Rapgef5,7.389246666666668,6.369933333333333,1.0193133333333346,0.002701877482014419,0.7908908344199385
Fryl,6.063446666666667,5.3942733333333335,0.6691733333333332,0.002730560616557587,0.7908908344199385
Clec4e,10.960733333333332,8.403450000000001,2.5572833333333307,0.0028008288398209203,0.7908908344199385
Zfp800,6.2448966666666665,5.7381400000000005,0.5067566666666661,0.002815796428751823,0.7908908344199385
Olfr1484,2.3298200000000002,1.9986433333333335,0.3311766666666667,0.002843859266834047,0.7908908344199385
