Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-225,ErZn5,Hexagonal,P6_3/mmc,194,36,0.00962,-0.30749,FALSE,590.15378,8.34506,0,FALSE,TRUE,NM,0,,
mp-1094484,MgZn5,Orthorhombic,Amm2,38,6,0.04413,-0.02319,FALSE,91.03158,6.4091,0,FALSE,TRUE,NM,0,,
mp-1435,SrZn5,Orthorhombic,Pnma,62,24,0,-0.2449,TRUE,450.50906,6.11368,0,FALSE,TRUE,NM,0,,
mp-303,BaZn5,Orthorhombic,Cmcm,63,12,0,-0.22111,TRUE,237.42994,6.49546,0,FALSE,TRUE,NM,0,,
mp-1094485,MgZn5,Monoclinic,Cm,8,6,0.07429,0.00697,FALSE,95.78244,6.0912,0,FALSE,TRUE,NM,0.00578,,
mp-1245683,Zn5(SiN3)2,Tetragonal,P-4b2,117,52,0.28635,-0.34214,FALSE,717.75799,4.324,0.9302,TRUE,FALSE,NM,0.00091,3.185,2.2548
mp-1215580,Zn5SeS4,Tetragonal,I-4m2,119,10,0.01609,-1.02513,FALSE,201.43772,4.40418,1.7642,TRUE,FALSE,NM,0,3.6137,1.8495
mp-1215633,Zn5TeSe4,Tetragonal,I-4m2,119,10,0.01352,-0.88456,FALSE,248.29993,5.15272,0.9239,TRUE,FALSE,NM,0.00101,2.7238,1.7999
mp-1189100,Zn5(CO6)2,Monoclinic,C2/m,12,19,0.24551,-1.27899,FALSE,231.97159,3.88742,0,FALSE,TRUE,FM,5.99978,,
mp-1190627,Zn5(N2O7)2,Monoclinic,C2/m,12,23,0.90788,-0.29392,FALSE,337.68647,2.98517,0,FALSE,TRUE,FiM,10.66032,,
mp-1191296,Zn5(NO8)2,Monoclinic,C2/m,12,23,0.40673,-0.607,FALSE,313.77847,3.23372,0,FALSE,TRUE,FM,12.00097,,
mp-1223236,La4CeZn5,Tetragonal,P4/mmm,123,10,0.01233,-0.28966,FALSE,256.04206,6.63317,0,FALSE,TRUE,FM,1.11159,6.1516,6.1723
mp-1226710,CeY4Zn5,Tetragonal,P4/mmm,123,10,0.01341,-0.30714,FALSE,234.85669,5.81744,0,FALSE,TRUE,FM,0.29479,3.6357,3.6641
mp-1246318,Zn5(SiN3)2,Monoclinic,C2/c,15,26,0.16558,-0.46291,FALSE,330.73752,4.69192,1.2815,FALSE,FALSE,NM,0.00089,4.2528,2.9713
mp-1246703,Zn5(GeN3)2,Monoclinic,C2/c,15,26,0.1667,-0.07127,FALSE,357.43099,5.16948,0.6864,FALSE,FALSE,NM,0.00202,2.6759,1.9895
mp-1215566,Zn5Se4S,Trigonal,R3m,160,10,0.02355,-0.95042,FALSE,231.80023,4.83512,1.2536,TRUE,FALSE,NM,0.00588,2.6701,1.4165
